"","A","M","Time","Event","As","W","I"
"3920",NA,-0.018,36.8,0,-0.447,-0.08,0
"3921",NA,-0.476,26.9,0,-1.314,-0.342,0
"3922",NA,0.782,50,0,0.638,-0.538,0
"3923",NA,0.273,25.4,0,0.641,1.651,0
"3924",NA,1.069,36.9,0,0.688,0.851,0
"3925",NA,0.446,5.4,0,0.86,-1.044,0
"3926",NA,0.335,50,0,0.376,-0.24,0
"3927",NA,-0.06,43.5,0,-1.679,-1.12,0
"3928",NA,-0.307,50,0,0.517,-1.603,0
"3929",NA,-1.485,19.4,0,-0.618,-0.079,0
"3930",NA,-0.271,50,0,-0.12,-0.285,0
"3931",NA,0.184,42.5,1,-0.239,-0.59,0
"3932",NA,-0.797,48.6,0,0.949,0.075,0
"3933",NA,0.82,50,0,0.683,-0.032,0
"3934",NA,0.734,33.5,0,0.138,-0.051,0
"3935",NA,0.417,43.7,1,0.054,0.128,0
"3936",NA,-0.456,35.3,0,0.647,0.126,0
"3937",NA,-0.011,48.3,0,0.573,-0.295,0
"3938",NA,-0.978,47.4,0,-0.61,-1.934,0
"3939",NA,0.059,50,0,0.302,0.557,0
"3940",NA,1.344,4.4,0,0.038,0.71,0
"3941",NA,1.108,50,0,-0.038,-0.221,0
"3942",NA,-0.421,50,0,0.159,-0.409,0
"3943",NA,-0.01,25.5,0,0.438,-0.498,0
"3944",NA,-0.503,25.4,0,-0.959,0.368,0
"3945",NA,0.501,50,0,0.214,-0.114,0
"3946",NA,0.13,24.7,0,-0.014,0.487,0
"3947",NA,1.432,16.8,0,0.533,-0.711,0
"3948",NA,1.629,16.9,0,0.245,-0.052,0
"3949",NA,-0.363,3.8,0,0.283,-0.64,0
"3950",NA,-1.316,50,0,-0.324,-0.113,0
"3951",NA,0.234,50,0,1.751,-0.267,0
"3952",NA,0.346,27.8,0,-0.376,-0.534,0
"3953",NA,-0.519,50,0,-0.633,-1.609,0
"3954",NA,-1.747,50,0,0.432,-0.013,0
"3955",NA,0.133,8.7,0,0.768,1.339,0
"3956",NA,-0.294,50,0,-1.267,-0.127,0
"3957",NA,0.099,7.3,0,-1.205,-0.591,0
"3958",NA,0.826,28.1,0,0.058,0.614,0
"3959",NA,0.794,50,0,1.328,0.988,0
"3960",NA,-0.235,50,0,-1.638,-2.306,0
"3961",NA,0.864,42,0,1.548,0.471,0
"3962",NA,0.206,5.1,0,-0.767,0.326,0
"3963",NA,0.528,50,0,-0.115,-0.21,0
"3964",NA,-0.072,50,0,-1.142,0.045,0
"3965",NA,0.377,29.4,0,-0.232,0.835,0
"3966",NA,0.357,50,0,0.834,-0.309,0
"3967",NA,1.784,50,0,0.691,0.435,0
"3968",NA,-0.426,50,0,-1.242,-0.213,0
"3969",NA,0.463,9.1,0,-0.9,0.708,0
"3970",NA,-0.207,30.3,0,-0.041,-1.691,0
"3971",NA,-0.296,50,0,0.045,-0.314,0
"3972",NA,1.393,50,0,-0.982,0.326,0
"3973",NA,0.228,46.2,1,-0.266,0.227,0
"3974",NA,0.439,50,0,0.501,0.608,0
"3975",NA,-0.425,5.2,0,-0.852,-0.49,0
"3976",NA,-0.222,50,0,0.06,-0.416,0
"3977",NA,-0.258,50,0,-0.236,-0.117,0
"3978",NA,0.09,2.9,0,0.306,-1.005,0
"3979",NA,0.243,50,0,-0.938,-1.291,0
"3980",NA,-1.5,22.4,0,0.045,-0.942,0
"3981",NA,0.453,50,0,-0.12,0.918,0
"3982",NA,0.561,38.8,0,0.69,-0.202,0
"3983",NA,-0.219,48.2,0,1.276,-0.572,0
"3984",NA,0.69,50,0,-0.286,-0.589,0
"3985",NA,-0.346,16.3,0,-0.214,-0.312,0
"3986",NA,-0.05,50,0,0.466,-0.94,0
"3987",NA,0.041,31.9,0,-0.081,-0.353,0
"3988",NA,0.062,50,0,0.378,0.556,0
"3989",NA,-0.338,50,0,0.402,-0.398,0
"3990",NA,0.087,5.3,0,-1.253,0.159,0
"3991",NA,0.216,39,1,0.077,-0.036,0
"3992",NA,0.111,50,0,-0.411,-0.185,0
"3993",NA,-0.646,14,0,0.547,0.127,0
"3994",NA,-0.114,50,0,-0.26,0.372,0
"3995",NA,-1.616,21.2,0,-0.007,0.678,0
"3996",NA,-0.464,3.1,0,-1.077,-0.703,0
"3997",NA,-0.351,50,0,0.697,0.92,0
"3998",NA,-0.79,50,0,0.373,1.067,0
"3999",NA,-0.174,50,0,-1.217,0.146,0
"4000",NA,-0.665,50,0,-0.384,1.178,0
"4001",NA,0.688,50,0,-1.712,-0.836,0
"4002",NA,0.075,50,0,-2.878,-0.969,0
"4003",NA,0.626,40.6,1,0.812,0.657,0
"4004",NA,-0.457,50,0,0.062,-0.358,0
"4005",NA,-0.08,50,0,-0.702,-0.131,0
"4006",NA,0.134,50,0,0.49,0.267,0
"4007",NA,-2.035,20.2,0,0.645,-1.465,0
"4008",NA,1.549,25.1,0,-0.143,0.931,0
"4009",NA,0.007,50,0,0.22,-0.599,0
"4010",NA,-0.539,50,0,0.58,-0.684,0
"4011",NA,-0.899,50,0,0.318,-1.198,0
"4012",NA,0.952,38.1,0,-0.144,-0.469,0
"4013",NA,-0.264,43.9,0,0.786,-0.089,0
"4014",NA,0.624,5.7,0,0.793,-0.779,0
"4015",NA,0.667,50,0,0.469,0.169,0
"4016",NA,-0.986,50,0,-0.612,-0.905,0
"4017",NA,1.158,50,0,0.3,0.879,0
"4018",NA,-0.788,47,0,-0.907,-0.424,0
"4019",NA,-0.042,50,0,-0.405,-0.386,0
"4020",NA,-0.711,50,0,0.031,-0.499,0
"4021",NA,0.598,50,0,-0.305,-0.084,0
"4022",NA,-0.711,50,0,-1.324,0.382,0
"4023",NA,-0.512,4.8,0,-0.99,0.289,0
"4024",NA,0.461,50,0,0.525,-0.708,0
"4025",NA,0.962,50,0,0.37,0.81,0
"4026",NA,-0.281,50,0,-0.566,-0.157,0
"4027",NA,0.277,20.6,0,-0.769,0.474,0
"4028",NA,0.404,43.8,0,-0.558,-0.113,0
"4029",NA,-0.22,5.2,0,0.821,0.129,0
"4030",NA,-0.963,45.6,0,-0.055,0.326,0
"4031",NA,0.222,50,0,0.814,-0.634,0
"4032",NA,-0.585,50,0,-0.433,0.363,0
"4033",NA,0.277,43.7,0,-0.262,0.581,0
"4034",NA,0.804,50,0,0.202,1.389,0
"4035",NA,-0.856,13.2,0,-0.529,0.638,0
"4036",NA,0.832,50,0,-0.389,-1.269,0
"4037",NA,1.098,45.2,1,1.301,-0.343,0
"4038",NA,-0.52,50,0,-0.681,-0.049,0
"4039",NA,0.653,38.9,0,0.186,0.092,0
"4040",NA,0.491,50,0,0.337,-0.243,0
"4041",NA,2.025,9.6,0,1.639,1.121,0
"4042",NA,-0.691,50,0,0.066,-0.528,0
"4043",NA,-0.36,11.6,0,0.203,0.376,0
"4044",NA,0.193,50,0,-0.531,0.223,0
"4045",NA,-0.058,50,0,-1.025,0.113,0
"4046",NA,0.381,3.8,0,0.652,-0.293,0
"4047",NA,-0.893,50,0,-0.323,-0.326,0
"4048",NA,-1.188,38.4,0,0.129,0.09,0
"4049",NA,-1.007,50,0,0.255,-2.101,0
"4050",NA,1.079,50,0,-0.091,-0.137,0
"4051",NA,-0.499,50,0,0.131,1.005,0
"4052",NA,-0.914,50,0,-1.114,-0.857,0
"4053",NA,-0.28,8.3,0,0.203,0.503,0
"4054",NA,-0.239,18.5,0,0.644,1.034,0
"4055",NA,-0.275,7.7,0,-0.276,-0.171,0
"4056",NA,0.108,50,0,0.306,0.12,0
"4057",NA,0.706,1,0,-0.126,0.879,0
"4058",NA,0.031,50,0,0.467,0.549,0
"4059",NA,-0.335,28.7,0,0.69,-0.878,0
"4060",NA,-1.181,50,0,0.525,-1.129,0
"4061",NA,0.099,9.7,0,-0.338,-1.106,0
"4062",NA,0.096,50,0,-1.532,-0.578,0
"4063",NA,0.957,50,0,0.385,0.12,0
"4064",NA,0.074,28,0,0.174,1.046,0
"4065",NA,1.514,50,0,-0.722,0.401,0
"4066",NA,1.008,34.5,0,0.457,-0.631,0
"4067",NA,0.439,47.4,1,0.372,-1.821,0
"4068",NA,0.446,47,1,-0.98,0.5,0
"4069",NA,0.167,50,0,-0.409,-0.237,0
"4070",NA,1.271,50,0,1.069,1.321,0
"4071",NA,0.144,50,0,-0.293,-0.844,0
"4072",NA,0.8,12.3,0,0.227,0.741,0
"4073",NA,-0.784,50,0,-0.222,0.598,0
"4074",NA,-0.537,50,0,-0.924,0.173,0
"4075",NA,-0.208,50,0,-0.156,0.555,0
"4076",NA,-0.173,45,0,-0.538,0.202,0
"4077",NA,1.152,50,0,-0.14,1.705,0
"4078",NA,-0.228,50,0,0.053,-0.642,0
"4079",NA,0.886,36.3,0,0.755,0.411,0
"4080",NA,0.747,50,0,0.905,0.125,0
"4081",NA,0.281,1.8,0,0.085,0.35,0
"4082",NA,-0.867,50,0,-0.024,-1.199,0
"4083",NA,0.702,50,0,1.438,0.699,0
"4084",NA,0.268,36.7,0,0.53,-0.335,0
"4085",NA,0.022,50,0,0.724,-0.44,0
"4086",NA,0.374,50,0,1.274,-1.428,0
"4087",NA,-0.357,50,0,0.615,0.24,0
"4088",NA,0.105,26.9,0,0.38,-0.313,0
"4089",NA,-0.511,50,0,-0.035,-0.302,0
"4090",NA,1.379,50,0,0.552,0.618,0
"4091",NA,0.509,34.7,1,0.142,-0.354,0
"4092",NA,-0.193,50,0,1.39,0.257,0
"4093",NA,0.381,50,0,0.326,-0.019,0
"4094",NA,1.404,50,0,0.896,0.592,0
"4095",NA,-0.035,12.8,0,1.011,-0.173,0
"4096",NA,0.279,0.8,0,0.597,0.218,0
"4097",NA,-0.845,50,0,0.783,-0.133,0
"4098",NA,-0.492,50,0,0.324,-0.126,0
"4099",NA,-0.416,6.5,0,1.055,0.312,0
"4100",NA,-0.134,45.7,0,-0.659,-0.357,0
"4101",NA,0.514,50,0,-0.324,-0.202,0
"4102",NA,0.652,50,0,-0.194,-0.262,0
"4103",NA,-0.017,37,0,0.12,0.334,0
"4104",NA,0.741,50,0,0.986,-0.413,0
"4105",NA,0.165,50,0,-0.164,-0.027,0
"4106",NA,0.185,50,0,-0.133,0.223,0
"4107",NA,0.107,50,0,-0.428,0.204,0
"4108",NA,-1.328,50,0,0.59,-0.598,0
"4109",NA,0.555,50,0,0.284,-0.184,0
"4110",NA,0.841,14.6,0,0.266,0.739,0
"4111",NA,0.38,4,0,0.378,0.673,0
"4112",NA,-0.787,39.1,0,0.677,-0.841,0
"4113",NA,0.17,38.4,1,-0.017,-0.179,0
"4114",NA,-0.053,16.3,0,-0.501,-0.93,0
"4115",NA,-0.489,29.7,0,-0.115,0.864,0
"4116",NA,-0.797,26.1,0,0.006,-1.236,0
"4117",NA,0.937,50,0,0.245,-0.7,0
"4118",NA,-1.107,50,0,-0.711,-0.032,0
"4119",NA,0.668,50,0,0.976,-0.453,0
"4120",NA,-0.409,50,0,-0.114,0.215,0
"4121",NA,-0.094,26.7,0,0.671,-0.442,0
"4122",NA,0.126,49.6,0,-0.398,0.35,0
"4123",NA,-0.622,27.5,0,0.196,-0.162,0
"4124",NA,-0.53,50,0,-0.343,-0.203,0
"4125",NA,1.079,50,0,0.945,0.018,0
"4126",NA,-0.1,50,0,-0.277,0.721,0
"4127",NA,1.169,50,0,-0.173,0.706,0
"4128",NA,0.489,50,0,-0.645,0.719,0
"4129",NA,0.074,50,0,0.6,0.134,0
"4130",NA,-0.117,36.7,0,-0.926,-1.309,0
"4131",NA,-0.199,32.9,0,-1.016,-0.473,0
"4132",NA,-0.753,50,0,-0.207,0.564,0
"4133",NA,1.181,50,0,0.214,0.236,0
"4134",NA,-0.981,4,0,-0.115,-1.161,0
"4135",NA,0.657,31.3,0,0.189,1.218,0
"4136",NA,-0.04,50,0,0.877,-0.56,0
"4137",NA,1.07,50,0,-0.22,-0.896,0
"4138",NA,-1.063,50,0,-0.461,-1.555,0
"4139",NA,0.862,50,0,0.754,0.361,0
"4140",NA,-0.434,43.3,1,0.32,-0.503,0
"4141",NA,-0.202,50,0,0.619,-0.619,0
"4142",NA,0.08,35.1,0,-1.259,-0.662,0
"4143",NA,-0.324,8,0,-0.885,0.454,0
"4144",NA,-1.203,9.3,0,0.068,-0.959,0
"4145",NA,-2.262,4.4,0,0.17,-0.029,0
"4146",NA,0.056,50,0,0.591,0.098,0
"4147",NA,0.599,50,0,0.738,-0.733,0
"4148",NA,-0.605,50,0,0.129,0.212,0
"4149",NA,-0.308,50,0,-0.452,0.498,0
"4150",NA,-0.275,49.9,0,1.096,-0.068,0
"4151",NA,-0.391,50,0,-0.57,1.166,0
"4152",NA,0.307,50,0,0.478,-0.609,0
"4153",NA,-1.302,43.5,0,-0.253,-0.942,0
"4154",NA,0.375,43.4,0,-0.147,0.697,0
"4155",NA,1.349,50,0,-0.409,-0.152,0
"4156",NA,0.164,50,0,0.073,0.194,0
"4157",NA,-0.088,50,0,-0.437,-0.617,0
"4158",NA,-0.651,50,0,-0.092,-0.818,0
"4159",NA,0.605,50,0,0.802,0.528,0
"4160",NA,-1.109,50,0,-0.216,0.598,0
"4161",NA,-1.702,50,0,0.613,1.169,0
"4162",NA,-0.134,50,0,0.17,-0.743,0
"4163",NA,1.197,43.5,0,-0.387,0.177,0
"4164",NA,-0.174,50,0,-0.378,0.53,0
"4165",NA,0.114,47.2,0,1.14,0.466,0
"4166",NA,-0.785,50,0,-0.943,-0.322,0
"4167",NA,0.006,50,0,-1.327,0.298,0
"4168",NA,-0.373,29.6,0,0.613,0.05,0
"4169",NA,-0.713,31.3,0,-1.617,-0.093,0
"4170",NA,-0.497,50,0,-1.908,-0.097,0
"4171",NA,-1.546,29.7,0,0.642,-1.165,0
"4172",NA,-0.797,50,0,0.263,-0.547,0
"4173",NA,-1.295,50,0,-0.144,-0.118,0
"4174",NA,0.764,30,0,1.051,-0.778,0
"4175",NA,-1.615,50,0,-0.637,-0.028,0
"4176",NA,-0.263,10.9,0,-0.059,1.261,0
"4177",NA,1.083,50,0,1.656,1.311,0
"4178",NA,-0.222,3.1,0,-0.491,0.578,0
"4179",NA,-0.247,9.2,0,0.426,-0.264,0
"4180",NA,-0.123,35.5,0,-0.984,0.738,0
"4181",NA,1.591,50,0,1.19,0.796,0
"4182",NA,0.547,47.4,0,0.066,-0.037,0
"4183",NA,-0.429,50,0,1.412,0.303,0
"4184",NA,-0.972,28.7,0,-0.873,-0.861,0
"4185",NA,0.509,20.1,0,0.689,-0.183,0
"4186",NA,0.441,50,0,0.115,0.202,0
"4187",NA,0.089,50,0,0.641,0.941,0
"4188",NA,-0.384,7.5,0,0.009,0.466,0
"4189",NA,0.905,50,0,-1.131,0.359,0
"4190",NA,-0.479,50,0,-0.322,0.062,0
"4191",NA,-0.992,50,0,-0.541,-0.916,0
"4192",NA,-0.326,50,0,-0.845,-0.394,0
"4193",NA,0.437,42.5,1,-0.309,-1.346,0
"4194",NA,-0.62,50,0,-0.253,-0.356,0
"4195",NA,-0.189,40.4,0,-1.319,-1.685,0
"4196",NA,0.396,50,0,0.663,0.346,0
"4197",NA,-0.685,40.4,1,1.924,-0.038,0
"4198",NA,-0.211,50,0,0.553,-0.693,0
"4199",NA,-0.109,2.7,0,0.478,0.118,0
"4200",NA,-0.044,50,0,-1.56,0.386,0
"4201",NA,-0.839,22.7,0,0.79,-0.725,0
"4202",NA,-0.762,50,0,0.615,0.134,0
"4203",NA,0.045,43.8,1,1.312,-0.642,0
"4204",NA,-0.883,35.1,0,0.343,-1.796,0
"4205",NA,-1.64,50,0,-1.217,-1.593,0
"4206",NA,-0.341,50,0,-0.31,-0.621,0
"4207",NA,0.692,50,0,0.418,1.822,0
"4208",NA,0.632,50,0,-0.299,0.539,0
"4209",NA,0.125,50,0,-0.18,-0.067,0
"4210",NA,0.747,5.1,0,0.377,0.62,0
"4211",NA,-0.054,50,0,0.007,0.344,0
"4212",NA,-0.544,50,0,1.184,0.05,0
"4213",NA,0.574,50,0,-0.472,0.337,0
"4214",NA,-0.067,50,0,-0.501,-0.195,0
"4215",NA,-0.159,20.7,0,0.188,-0.29,0
"4216",NA,0.085,50,0,0.033,1.174,0
"4217",NA,-1.395,48.8,1,1.136,0.259,0
"4218",NA,0.729,50,0,0.525,0.792,0
"4219",NA,-0.527,22.7,0,1.108,0.777,0
"4220",NA,-0.444,41.9,0,0.466,1.02,0
"4221",NA,-1.228,16.6,0,-0.15,-1.537,0
"4222",NA,-1.027,50,0,-0.487,0.194,0
"4223",NA,0.616,29.7,0,-0.16,-0.082,0
"4224",NA,0.439,42.9,0,-0.517,-0.712,0
"4225",NA,-0.371,16.4,0,0.197,0.942,0
"4226",NA,-0.922,3.9,0,-0.88,0.936,0
"4227",NA,-0.271,50,0,0.053,-1.33,0
"4228",NA,1.327,50,0,0.062,1,0
"4229",NA,0.559,43,0,1.056,-0.503,0
"4230",NA,-1.185,25.8,0,-0.803,-0.694,0
"4231",NA,-0.722,50,0,-0.339,1.116,0
"4232",NA,0.808,42.4,0,-0.901,-0.335,0
"4233",NA,-0.421,13.6,0,-0.54,-0.263,0
"4234",NA,-0.13,31.8,0,0.512,0.257,0
"4235",NA,0.175,25.2,0,0.734,-0.085,0
"4236",NA,-1.063,17.7,0,-0.505,-0.728,0
"4237",NA,0.904,30,1,-0.006,0.362,0
"4238",NA,0.055,42.9,1,-0.379,-0.558,0
"4239",NA,0.495,19.2,0,-0.46,-0.759,0
"4240",NA,0.738,50,0,1.127,0.804,0
"4241",NA,-0.275,50,0,0.478,-0.168,0
"4242",NA,0.019,50,0,-0.341,0.765,0
"4243",NA,0.126,50,0,0.764,0.651,0
"4244",NA,-0.255,50,0,-0.803,-0.395,0
"4245",NA,-0.487,49.4,0,-0.038,0.317,0
"4246",NA,0.182,50,0,-0.17,0.303,0
"4247",NA,-0.369,50,0,-0.176,-0.135,0
"4248",NA,-0.219,35,0,0.215,0.123,0
"4249",NA,1.267,10.7,0,0.227,-0.242,0
"4250",NA,-0.967,11.3,0,-0.602,0.368,0
"4251",NA,1.41,12.5,0,0.518,-0.244,0
"4252",NA,0.438,50,0,1.233,0.968,0
"4253",NA,0.007,0.4,0,-0.609,-0.173,0
"4254",NA,1.109,50,0,-1.277,-0.394,0
"4255",NA,-0.087,12,0,0.451,0.171,0
"4256",NA,-0.559,19.8,0,0.551,1.192,0
"4257",NA,0.309,50,0,-0.264,1.509,0
"4258",NA,0.826,42.9,0,0.54,0.665,0
"4259",NA,-0.637,30.6,0,-0.208,-0.783,0
"4260",NA,-0.554,50,0,0.027,0.238,0
"4261",NA,0.135,22.7,0,0.643,-1.137,0
"4262",NA,0.711,50,0,-0.578,0.07,0
"4263",NA,-0.255,50,0,-0.012,-0.407,0
"4264",NA,-0.396,42.8,0,-0.938,0.013,0
"4265",NA,0.095,50,0,0.522,-0.136,0
"4266",NA,0.032,28.7,0,0.774,-0.156,0
"4267",NA,0.234,25.7,0,0.516,0.467,0
"4268",NA,-1.122,20.7,0,-0.6,0.031,0
"4269",NA,-0.21,50,0,-0.214,-0.542,0
"4270",NA,-0.66,50,0,-0.152,0.072,0
"4271",NA,-0.898,25.1,0,0.549,0.737,0
"4272",NA,0.221,50,0,-0.151,0.894,0
"4273",NA,-0.781,50,0,0.798,0.101,0
"4274",NA,-0.386,50,0,0.363,-0.018,0
"4275",NA,0.639,50,0,-1.076,-0.4,0
"4276",NA,0.74,50,0,1.421,2.459,0
"4277",NA,-0.315,50,0,0.296,0.979,0
"4278",NA,-0.799,31.7,0,-1.091,0.109,0
"4279",NA,-0.665,50,0,-0.388,0.416,0
"4280",NA,0.916,50,0,0.755,1.22,0
"4281",NA,0.598,50,0,-0.774,0.484,0
"4282",NA,-1,50,0,-0.323,-0.617,0
"4283",NA,-1.177,21.2,0,0.615,-0.01,0
"4284",NA,-0.384,50,0,-0.657,0.816,0
"4285",NA,-1.649,50,0,-1.31,-0.161,0
"4286",NA,0.345,3.3,0,-0.026,0.538,0
"4287",NA,-0.813,12.9,0,0.554,1.241,0
"4288",NA,-0.99,28.7,0,-0.707,-0.428,0
"4289",NA,-0.072,50,0,-0.187,-0.669,0
"4290",NA,0.109,50,0,-0.155,0.173,0
"4291",NA,1.65,50,0,0.226,0.508,0
"4292",NA,-1.052,14.9,0,0.128,-0.489,0
"4293",NA,1.233,50,0,-0.109,-0.454,0
"4294",NA,0.056,12.7,0,-0.758,0.371,0
"4295",NA,-0.985,50,0,0.247,-1.285,0
"4296",NA,-0.134,50,0,0.623,-0.476,0
"4297",NA,0.766,27.3,1,-0.383,0.103,0
"4298",NA,-0.898,50,0,-1.983,-0.537,0
"4299",NA,0.119,49.8,0,-0.772,-0.24,0
"4300",NA,-0.875,50,0,-0.283,-0.475,0
"4301",NA,0.818,50,0,0.337,0.763,0
"4302",NA,0.913,47.6,0,0.418,-0.596,0
"4303",NA,1.321,50,0,-0.619,-1.262,0
"4304",NA,-0.956,14.1,0,0.746,1.08,0
"4305",NA,1.118,29.4,1,0.836,0.027,0
"4306",NA,-0.242,36.6,1,0.661,0.878,0
"4307",NA,1.411,50,0,0.323,-0.209,0
"4308",NA,0.173,27,1,0.625,1.13,0
"4309",NA,-1.341,10.1,0,-1.194,-1.88,0
"4310",NA,0.198,50,0,1.284,-0.889,0
"4311",NA,-0.11,45,0,-0.307,0.468,0
"4312",NA,-0.981,50,0,-0.084,-0.688,0
"4313",NA,1.934,50,0,0.056,0.699,0
"4314",NA,0.545,26.4,0,0.828,0.784,0
"4315",NA,0.423,4.4,0,0.094,-0.603,0
"4316",NA,0.97,37.2,1,-0.566,0.159,0
"4317",NA,-0.213,50,0,-0.001,0.78,0
"4318",NA,0.381,50,0,0.039,1.924,0
"4319",NA,0.761,50,0,-0.183,-0.009,0
"4320",NA,0.683,37.3,1,0.129,-0.047,0
"4321",NA,0.105,50,1,1.452,0.133,0
"4322",NA,-0.628,50,0,-0.555,0.008,0
"4323",NA,-1.239,19,0,-1.149,0.206,0
"4324",NA,0.68,50,0,-0.521,0.111,0
"4325",NA,0.263,40.2,0,0.976,2.047,0
"4326",NA,0.823,50,0,-0.176,0.674,0
"4327",NA,0.216,3.5,0,0.069,0.154,0
"4328",NA,-0.312,10.7,0,0.758,-0.664,0
"4329",NA,0.654,38.2,0,0.52,0.423,0
"4330",NA,1.004,23,0,0.111,1.306,0
"4331",NA,-0.595,18.5,0,-0.675,-1.205,0
"4332",NA,0.504,50,0,0.499,-0.327,0
"4333",NA,-0.759,12.2,0,-0.234,-1.012,0
"4334",NA,0.068,39.9,0,-0.353,-0.136,0
"4335",NA,1.6,50,0,0.548,0.575,0
"4336",NA,-0.294,49.3,1,-0.295,0.025,0
"4337",NA,0.271,50,0,0.813,0.301,0
"4338",NA,-0.276,11.7,0,-0.54,-0.415,0
"4339",NA,-0.25,50,0,-1.267,-1.519,0
"4340",NA,-0.096,20.4,0,-1.169,0.163,0
"4341",NA,1.011,50,0,-0.387,-0.494,0
"4342",NA,-2.123,50,0,0.137,0.065,0
"4343",NA,0.24,50,0,-0.667,-1.057,0
"4344",NA,0.766,33.6,0,0.758,0.914,0
"4345",NA,-0.589,50,0,-0.33,0.269,0
"4346",NA,-0.176,50,0,0.894,1.366,0
"4347",NA,-0.379,50,0,-0.254,-0.339,0
"4348",NA,-0.109,33.2,0,-0.762,-1.056,0
"4349",NA,0.585,50,0,-0.528,0.787,0
"4350",NA,0.39,50,0,-0.414,1.059,0
"4351",NA,0.841,50,0,0.25,-1.038,0
"4352",NA,-0.711,50,0,0.811,-0.861,0
"4353",NA,0.241,50,0,-0.582,-0.19,0
"4354",NA,0.411,50,0,0.947,-0.995,0
"4355",NA,-0.171,50,0,-0.225,-0.746,0
"4356",NA,0.31,27.8,0,0.235,0.004,0
"4357",NA,-0.572,5.6,0,-0.398,-0.492,0
"4358",NA,0.746,50,0,1.248,0.109,0
"4359",NA,-1.326,36,0,1.065,0.255,0
"4360",NA,0.313,50,0,0.412,0.406,0
"4361",NA,0.829,23.1,0,0.524,0.486,0
"4362",NA,1.08,32.8,1,1.106,0.351,0
"4363",NA,0.017,50,0,1.086,-1.525,0
"4364",NA,0.737,7.4,0,0.32,-0.58,0
"4365",NA,-0.069,29.8,0,-0.677,-0.106,0
"4366",NA,-0.725,50,0,0.665,-0.407,0
"4367",NA,-0.743,50,0,1.497,-0.913,0
"4368",NA,0.18,45,0,-1.027,0.845,0
"4369",NA,0.45,50,0,0.428,0.057,0
"4370",NA,-0.683,50,0,0.007,-0.408,0
"4371",NA,0.095,21.8,0,1.269,1.499,0
"4372",NA,1.036,40.1,0,1.199,2.074,0
"4373",NA,0.429,50,0,-0.183,-0.477,0
"4374",NA,-0.128,50,0,0.624,-0.209,0
"4375",NA,0.202,16.3,0,1.209,-0.136,0
"4376",NA,1.177,50,0,-0.401,1.226,0
"4377",NA,0.302,50,0,-1.209,0.34,0
"4378",NA,-0.3,9.6,0,0.731,0.306,0
"4379",NA,0.501,38.4,1,-0.505,0.612,0
"4380",NA,0.026,32.8,0,-0.865,-1.114,0
"4381",NA,0.638,13,0,0.487,-0.389,0
"4382",NA,0.186,50,0,0.152,-0.562,0
"4383",NA,-0.423,30,0,0.767,1.431,0
"4384",NA,0.069,50,0,0.747,-0.89,0
"4385",NA,-0.409,29.4,1,-0.882,-1.633,0
"4386",NA,0.589,50,0,-0.447,-0.979,0
"4387",NA,-0.39,15.7,0,-0.526,-0.016,0
"4388",NA,1.324,50,0,0.966,-0.335,0
"4389",NA,-0.396,50,0,-1.032,0.128,0
"4390",NA,-0.106,50,0,0.691,-0.89,0
"4391",NA,-0.041,50,0,-1.52,-0.125,0
"4392",NA,-0.827,50,0,-0.812,0.234,0
"4393",NA,0.044,50,0,-0.582,1.104,0
"4394",NA,-0.199,2.4,0,-1.441,0.401,0
"4395",NA,0.749,50,0,-0.238,-1.236,0
"4396",NA,-0.624,8.8,0,-0.408,-1.073,0
"4397",NA,-0.098,50,0,0.397,0.311,0
"4398",NA,-0.281,37.1,0,0.275,0.027,0
"4399",NA,-0.478,50,0,-0.084,-0.192,0
"4400",NA,-0.131,50,0,-0.777,0.681,0
"4401",NA,0.039,34.7,1,0.253,0.517,0
"4402",NA,1.597,50,0,-0.295,0.884,0
"4403",NA,-0.33,50,0,0.534,0.294,0
"4404",NA,0.328,50,0,0.724,-1.46,0
"4405",NA,0.028,28.4,0,0.687,0.076,0
"4406",NA,-0.094,50,0,0.836,0.681,0
"4407",NA,0.145,50,0,0.626,1.147,0
"4408",NA,-0.359,50,0,0.726,-0.094,0
"4409",NA,0.687,50,0,-1.013,0.052,0
"4410",NA,-0.166,14.4,0,-0.404,-1.207,0
"4411",NA,-1.385,2.8,0,0.472,0.477,0
"4412",NA,0.699,8.7,0,-0.263,-1.38,0
"4413",NA,-0.228,4.7,0,0.218,-0.011,0
"4414",NA,-0.866,50,0,0.44,-0.493,0
"4415",NA,-0.225,34.2,0,-1.196,-0.312,0
"4416",NA,-0.223,44.6,1,0.942,-0.322,0
"4417",NA,-1.047,40.1,0,0.247,0.845,0
"4418",NA,-0.966,50,0,-1.3,-1.721,0
"4419",NA,0.376,50,0,1.431,0.69,0
"4420",NA,-0.465,50,0,-0.045,-0.95,0
"4421",NA,0.375,50,0,-0.122,1.159,0
"4422",NA,-0.986,50,0,-0.05,-0.162,0
"4423",NA,-0.547,50,0,0.812,0.494,0
"4424",NA,-1.114,50,0,1.104,-0.401,0
"4425",NA,-0.028,24.6,0,-0.612,0.378,0
"4426",NA,0.228,50,0,0.949,0.151,0
"4427",NA,0.873,50,0,1.612,0.822,0
"4428",NA,-0.074,50,0,-0.351,0.165,0
"4429",NA,-0.081,50,0,0.605,-0.603,0
"4430",NA,0.651,41.3,0,0.579,-0.701,0
"4431",NA,-1.175,29,0,0.435,-0.798,0
